blue,green,red,ndwi,brightness,label,source_file
0.42426255,0.5115983,0.39568618,0.12775704,0.443849,0,GSL_2010_02.tif
0.45756638,0.5490636,0.4045853,0.15150037,0.4704051,0,GSL_2010_02.tif
0.39079234,0.46919322,0.3887206,0.09380024,0.41623542,0,GSL_2010_02.tif
0.45617986,0.55129737,0.4221728,0.13264342,0.47655,0,GSL_2010_02.tif
0.42740992,0.5180634,0.40182137,0.12636574,0.44909823,0,GSL_2010_02.tif
0.42722967,0.5178455,0.40035883,0.12795252,0.44847798,0,GSL_2010_02.tif
0.41710818,0.5041706,0.39423606,0.12236599,0.43850493,0,GSL_2010_02.tif
0.33013278,0.38454655,0.26885527,0.17705964,0.3278449,0,GSL_2010_02.tif
0.5106972,0.6204349,0.4479158,0.16148156,0.5263493,0,GSL_2010_02.tif
0.28789985,0.33356968,0.23722503,0.16879007,0.28623152,0,GSL_2010_02.tif
0.2912136,0.3368749,0.23893543,0.17008953,0.289008,0,GSL_2010_02.tif
1.0,1.0,0.90334445,0.050781928,0.9677815,0,GSL_2010_02.tif
0.7274056,0.7042205,1.0,-0.17355697,0.81054205,0,GSL_1986_01.tif
0.7269236,0.69723904,0.96017534,-0.15864237,0.7947793,0,GSL_1986_01.tif
0.78479284,0.75054115,1.0,-0.14250377,0.84511137,0,GSL_1986_01.tif
0.803672,0.7640115,1.0,-0.13377938,0.8558945,0,GSL_1986_01.tif
0.8030829,0.76404047,1.0,-0.13376077,0.8557078,0,GSL_1986_01.tif
0.6998501,0.6806111,0.9038684,-0.14090253,0.76144314,0,GSL_1986_01.tif
0.66252023,0.6307273,0.682412,-0.039359648,0.6585532,0,GSL_1986_01.tif
0.6601369,0.6233693,0.59381443,0.024281316,0.6257735,0,GSL_1986_01.tif
0.7156496,0.68008965,0.6956397,-0.011303144,0.6971263,0,GSL_1986_01.tif
0.17281379,0.08959524,0.048382122,0.29869264,0.103597045,0,GSL_1986_01.tif
0.75485396,0.7394172,1.0,-0.14981033,0.83142376,0,GSL_1986_01.tif
0.755095,0.7351009,1.0,-0.1526706,0.8300653,0,GSL_1986_01.tif
0.77994585,0.7512074,1.0,-0.1420691,0.84371775,0,GSL_1986_01.tif
0.80118155,0.7738029,1.0,-0.12752093,0.85832816,0,GSL_1986_01.tif
0.7854623,0.76070905,1.0,-0.13590594,0.8487238,0,GSL_1986_01.tif
0.77753574,0.75198954,1.0,-0.14155924,0.8431751,0,GSL_1986_01.tif
0.8045289,0.77391875,1.0,-0.12744729,0.8594825,0,GSL_1986_01.tif
0.81947154,0.7906046,1.0,-0.11694112,0.8700254,0,GSL_1986_01.tif
0.8308258,0.7988027,1.0,-0.111850634,0.8765428,0,GSL_1986_01.tif
0.839529,0.8075802,1.0,-0.106451556,0.88236976,0,GSL_1986_01.tif
0.7778571,0.7530904,1.0,-0.14084242,0.84364915,0,GSL_1986_01.tif
0.7655656,0.73321795,0.97055113,-0.13929883,0.82311153,0,GSL_1986_01.tif
0.77191216,0.72585994,0.72370875,0.0014840206,0.7404936,0,GSL_1986_01.tif
0.7648961,0.719313,0.7532413,-0.023040408,0.74581677,0,GSL_1986_01.tif
0.7648961,0.719313,0.7532413,-0.023040408,0.74581677,0,GSL_1986_01.tif
0.0027389692,0.012006862,0.005258635,0.3908278,0.0066681555,1,GSL_2001_09.tif
0.0038800845,0.017419094,0.010589755,0.2438192,0.010629644,1,GSL_2001_09.tif
0.0045237904,0.017696645,0.008155071,0.36907434,0.010125169,1,GSL_2001_09.tif
0.00592824,0.019500723,0.012520713,0.2179725,0.012649893,1,GSL_2001_09.tif
0.008854177,0.019500723,0.014619579,0.14305271,0.014324826,1,GSL_2001_09.tif
0.0031778596,0.012943595,0.007021683,0.2965957,0.007714379,1,GSL_2001_09.tif
0.0021245226,0.016170118,0.009246482,0.27239537,0.0091803735,1,GSL_2001_09.tif
0.0046115685,0.01901501,0.011219416,0.25782982,0.011615331,1,GSL_2001_09.tif
0.006308612,0.01884154,0.012940486,0.18566686,0.01269688,1,GSL_2001_09.tif
0.000720073,0.008017074,0.0027819732,0.48472944,0.003839707,1,GSL_2001_09.tif
0.0024171162,0.00888442,0.003537565,0.43040016,0.004946367,1,GSL_2001_09.tif
0.004172678,0.015337467,0.0064340006,0.40893233,0.008648049,1,GSL_2001_09.tif
0.0001641451,0.01016809,0.0018164946,0.6968034,0.0040495764,1,GSL_2001_09.tif
0.0020952632,0.012943595,0.003537565,0.5706795,0.0061921407,1,GSL_2001_09.tif
0.18840751,0.067129,0.08814184,-0.13532938,0.11455945,0,GSL_2006_04.tif
0.17290603,0.060662042,0.08098929,-0.14350095,0.10485246,0,GSL_2006_04.tif
